ts,src_ip,src_port,dst_ip,dst_port,pck_len,tcp_flags
1615345529.3099802,3357,38085.0,5157,16042.0,60,2.0
1615345529.3960118,614,51573.0,5300,9001.0,60,2.0
1615345529.445452,426,47394.0,5233,2207.0,60,2.0
1615345529.4643948,2410,39089.0,5266,445.0,66,2.0
1615345529.514905,1826,50481.0,5256,33892.0,60,2.0
1615345529.533909,426,47394.0,5176,528.0,60,2.0
1615345529.574528,1071,43094.0,5169,1433.0,60,2.0
1615345529.5919778,614,51573.0,5236,45676.0,60,2.0
1615345529.5922198,614,51573.0,5249,45676.0,60,2.0
1615345529.7898052,4348,57212.0,5116,23.0,60,2.0
1615345529.9418721,4918,63145.0,5314,23.0,60,2.0
1615345530.027972,3019,52536.0,5225,23.0,60,2.0
1615345530.083446,705,45074.0,5322,5559.0,60,2.0
1615345530.107228,3323,52518.0,5338,2000.0,74,2.0
1615345530.235821,3323,57626.0,5338,2000.0,74,2.0
1615345530.243449,426,47394.0,5166,1722.0,60,2.0
1615345530.254051,3329,16792.0,5335,8140.0,60,2.0
1615345530.2591438,3434,34567.0,5123,8080.0,60,2.0
1615345530.3055198,3922,60131.0,5175,445.0,66,2.0
1615345530.373925,274,61644.0,5133,1433.0,66,2.0
1615345530.5058448,2306,39353.0,5339,445.0,66,2.0
1615345530.736064,614,51573.0,5236,45803.0,60,2.0
1615345530.857801,705,45074.0,5183,5559.0,60,2.0
1615345530.870453,639,47159.0,5168,6398.0,60,2.0
1615345530.894988,3453,31119.0,5137,20000.0,60,2.0
1615345530.911249,2939,64833.0,5109,28435.0,62,2.0
1615345530.984911,274,62515.0,5264,1433.0,66,2.0
1615345530.995907,2583,50205.0,5105,8914.0,60,2.0
1615345531.01369,274,62562.0,5129,1433.0,66,2.0
1615345531.070958,1541,29011.0,5325,10243.0,60,2.0
1615345531.108406,1370,36810.0,5207,6379.0,60,2.0
1615345531.175216,614,51573.0,5283,3396.0,60,2.0
1615345531.185169,614,51573.0,5347,45186.0,60,2.0
1615345531.204247,4858,56711.0,5207,445.0,66,2.0
1615345531.206775,643,47309.0,5163,9210.0,60,2.0
1615345531.22717,3323,57626.0,5338,2000.0,74,2.0
1615345531.236816,1247,29011.0,5261,5555.0,60,2.0
1615345531.2386448,3504,57992.0,5267,23.0,60,2.0
1615345531.2738972,426,47394.0,5296,444.0,60,2.0
1615345531.278598,274,59032.0,5339,1433.0,66,2.0
1615345531.482086,4656,64166.0,5342,445.0,66,2.0
1615345531.503944,426,47394.0,5135,193.0,60,2.0
1615345531.5839062,778,33213.0,5273,23023.0,60,2.0
1615345531.643591,2408,51758.0,5141,445.0,66,2.0
1615345531.674896,1826,50481.0,5299,33892.0,60,2.0
1615345531.704387,4656,60695.0,5171,445.0,66,2.0
1615345531.905867,4656,65356.0,5166,445.0,66,2.0
1615345532.0238461,705,45074.0,5316,5559.0,60,2.0
1615345532.10133,3019,52536.0,5225,23.0,60,2.0
1615345532.20042,614,51573.0,5139,7784.0,60,2.0
1615345532.312492,274,64053.0,5344,1433.0,66,2.0
1615345532.416744,614,51573.0,5256,55660.0,60,2.0
1615345532.435167,274,64210.0,5321,1433.0,66,2.0
1615345532.440148,614,51573.0,5261,45026.0,60,2.0
1615345532.441592,1503,41844.0,5305,23.0,60,2.0
1615345532.471756,614,51573.0,5317,45186.0,60,2.0
1615345532.562871,1255,55120.0,5306,137.0,60,2.0
1615345532.721148,1863,10829.0,5252,81.0,60,2.0
1615345532.7898,3794,9217.0,5129,23.0,60,2.0
1615345532.910717,426,47394.0,5344,2065.0,60,2.0
1615345532.9928901,614,51573.0,5283,55654.0,60,2.0
1615345533.227076,3323,57626.0,5338,2000.0,74,2.0
1615345533.266785,2881,21727.0,5109,28435.0,66,2.0
1615345533.269629,2852,62611.0,5215,445.0,66,2.0
1615345533.29528,3922,60131.0,5175,445.0,66,2.0
1615345533.322114,1746,62706.0,5180,4786.0,60,2.0
1615345533.368293,3323,37460.0,5338,2000.0,74,2.0
1615345533.558789,2306,39353.0,5339,445.0,66,2.0
1615345533.571195,705,45074.0,5325,5559.0,60,2.0
1615345533.597868,1490,46887.0,5128,4401.0,60,2.0
1615345533.752903,2225,41759.0,5282,22385.0,60,2.0
1615345533.76512,614,51573.0,5334,45186.0,60,2.0
1615345533.852315,1416,21601.0,5160,18021.0,60,2.0
1615345533.976238,614,51573.0,5190,45803.0,60,2.0
1615345533.979442,274,62515.0,5264,1433.0,66,2.0
1615345533.984756,3395,47462.0,5226,80.0,74,2.0
1615345534.121639,2152,5428.0,5279,23.0,60,2.0
1615345534.221034,4858,56711.0,5207,445.0,66,2.0
1615345534.3670151,3323,37460.0,5338,2000.0,74,2.0
1615345534.372375,4665,34377.0,5266,23.0,60,2.0
1615345534.383311,274,50445.0,5126,1433.0,66,2.0
1615345534.454268,705,45074.0,5333,5559.0,60,2.0
1615345534.482903,4656,64166.0,5342,445.0,66,2.0
1615345534.5015929,4419,37358.0,5327,102.0,60,2.0
1615345534.53314,426,47394.0,5108,2046.0,60,2.0
1615345534.637712,274,50717.0,5201,1433.0,66,2.0
1615345534.639589,2740,50082.0,5329,27119.0,60,2.0
1615345534.640635,2408,51758.0,5141,445.0,66,2.0
1615345534.697933,3535,63679.0,5203,9080.0,60,2.0
1615345534.704434,2780,49768.0,5306,445.0,66,2.0
1615345534.7376711,3504,57992.0,5267,23.0,60,2.0
